Column 1,Column 2,Column 3,Column 4,Column 5
9,8,10,8,9
3,10,9,6,10
6,1,2,4,2
1,6,7,1,8
2,6,3,7,7
8,6,4,2,2
6,4,1,1,10
6,4,10,9,4
1,4,4,2,6
3,6,10,8,3
Column 1,Column 2,Column 3,Column 4,Column 5
2,6,7,1,4
2,1,2,9,10
3,7,6,5,5
10,9,10,10,10
3,8,4,9,7
9,3,6,10,6
9,5,2,3,3
3,7,8,6,9
1,3,8,8,2
9,6,8,7,5
3,7,9,4,3
10,9,8,5,9
2,5,1,3,6
1,3,8,10,4
6,7,3,10,9
6,8,4,6,10
10,7,2,4,10
6,1,6,7,7
8,9,1,10,8
5,7,6,9,4
Column 1,Column 2,Column 3,Column 4,Column 5
4,2,8,3,3
9,8,5,6,10
4,6,4,2,4
1,9,10,7,3
9,9,5,2,2
6,7,4,8,2
2,8,6,2,9
4,3,6,7,10
4,9,10,5,5
5,9,3,10,10
